Sl No,city,country,name,address,date,state_code,price,bed,bath,area,pet,deposit,ac,parking,dishwasher,fireplace,storage,hardwood_floor
116,orlando,US,"Flat For Rent In Orlando, Florida","2717 Raeford Road, Conway, FL 32806, USA",01/14/24,FL,112212,2,1,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
117,orlando,US,Studio · The Point Studio 10 Min Universal,"Orlando, FL",04/30/23,FL,206969,Studio,1,,,,Available,Available,Available,Available,Available,Available
118,orlando,US,"Flat For Rent In Orlando, Florida","3740 Lawson Drive, Orlando, FL 32806, USA",01/14/24,FL,112212,1,1,600,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
119,orlando,US,"Flat For Rent In Orlando, Florida","6002 Amelia Street, Orlovista, Orange County, FL 32835, USA",01/14/24,FL,112212,2,2,1047,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
120,orlando,US,$975 - 1 Bedroom 1 Bathroom(Shared) House In Orlando With Great Amenities,"6844 Westborough Ln, Unit Unit 11",09/21/23,,80211,1,1,275,,,Available,Available,Available,Available,Available,Available
121,orlando,US,"Flat For Rent In Orlando, Florida","Dezerland Park Orlando, 5250 International Drive, Orlando, FL 32819, USA",01/14/24,FL,112212,1,1,928,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
122,orlando,US,"Flat For Rent In Orlando, Florida","480 North Orange Avenue, Orlando, FL 32885, USA",01/14/24,FL,112212,1,1,691,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
123,orlando,US,Home Away From Home,"Orlando, FL",02/26/19,ON,112212,1,1,498,,,Available,Available,Available,Available,Available,Available
124,orlando,US,"Flat For Rent In Orlando, Florida","623 Smith Street, Orlando, FL 32804, USA",01/14/24,FL,112212,2,2,1054,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
125,orlando,US,Home In The Heart Of Orlando,"Orlando, FL",08/30/23,FL,371546,2,2,,,,Available,Available,Available,Available,Available,Available
126,orlando,US,"Flat For Rent In Orlando, Florida","unnamed road, Orlando, FL 32832, USA",01/14/24,FL,112212,1,1,910,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
127,orlando,US,"Flat For Rent In Orlando, Florida","5943 Village Circle South, Orlando, FL 32822, USA",01/14/24,FL,112212,2,1.5,860,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
128,orlando,US,International Teachers Lovely Condo,"Orlando, FL, US",02/26/19,FL,108056,2,2,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
129,orlando,US,Windsor Hills Resort 489,"Orlando, FL",04/24/23,FL,428899,3,2,,,,Available,Available,Available,Available,Available,Available
130,orlando,US,"Flat For Rent In Orlando, Florida","Aaron H. Dowd Court, MetroWest, Orlando, FL 32835, USA",01/14/24,FL,112212,1,1,499,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
131,orlando,US,Luxury Resort Apartment Minutes From Disneyworld Florida,"Orlando, FL",04/30/23,FL,408950,1,1,400,,,Available,Available,Available,Available,Available,Available
132,orlando,US,Unique Cozy Studio Full Kitchen,"Orlando, FL",01/16/24,FL,196994,1,1,,,,Available,Available,Available,Available,Available,Available
133,orlando,US,"Property For Rent In Orlando, Florida","2070 Scranton Avenue, Alafaya, FL 32826, USA",02-11-2024,FL,149200,Studio,,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
134,orlando,US,"Flat For Rent In Orlando, Florida","489 San Juan Boulevard, Orlando, FL 32807, USA",01/14/24,FL,112212,1,1,400,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
135,orlando,US,The Epic Rome Penthouse Orlando,"Orlando, FL",09/20/23,FL,1144562,4,3,2000,Allowed,,Available,Available,Available,Available,Available,Available
136,orlando,US,"Flat For Rent In Orlando, Florida","Selten Way, Orlando, FL 32832, USA",01/14/24,FL,112212,2,2,1144,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
137,orlando,US,Cute And Cozy Apartment-B 1 Bedroom Duplex,"Winter Park, FL",04/25/23,FL,361572,1,1,,,,Available,Available,Available,Available,Available,Available
138,orlando,US,Storey Lake Resort 1099,"Orlando, FL, 32896",01/16/24,FL,551086,3,2,,,,Available,Available,Available,Available,Available,Available
139,orlando,US,"Flat For Rent In Orlando, Florida","465 East Church Street, Orlando, FL 32801, USA",01/14/24,FL,112212,1,1,722,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
140,orlando,US,"Flat For Rent In Orlando, Florida","Cypress Fairway Apartments, Southlawn Avenue, Orlando, FL 32811, USA",01/14/24,FL,112212,2,2,1043,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
